ID,q4_lat,q4_long,q4_district,q56,Avg_Income,ZONASTAT
"106167",45.0718575,7.679089308,Torino,"15",15000,"01"
"106557",45.07158094,7.68081665,Torino,"15",15000,"01"
"3960",45.0713,7.6778,Torino,"15",15000,"01"
"3997",45.07131,7.67782,Torino,"5",2750.5,"01"
"4002",45.07127,7.67793,Torino,"7",3750.5,"01"
"4005",45.07129,7.67782,Torino,"8",4250.5,"01"
"4026",45.07129,7.67765,Torino,"3",1750.5,"01"
"4071",45.07123,7.67791,Torino,"8",4250.5,"01"
"4258",45.07131,7.67791,Torino,"3",1750.5,"01"
"4405",45.07132,7.67785,Torino,"15",15000,"01"
"4994",45.07114,7.67817,Torino,"7",3750.5,"01"
"5048",45.07126,7.67812,Torino,"9",5500.5,"01"
"101377",45.07122482,7.678080797,Torino,"15",15000,"01"
"105091",45.07123779,7.67802372,Torino,"4",2250.5,"01"
"105179",45.07129083,7.677723312,Torino,"3",1750.5,"01"
"105295",45.07130211,7.677884996,Torino,"7",3750.5,"01"
"105824",45.07125362,7.677844763,Torino,"9",5500.5,"01"
"105842",45.0711999,7.678141737,Torino,"3",1750.5,"01"
"108487",45.07115444,7.678173923,Torino,"5",2750.5,"01"
"108871",45.0712681,7.677873516,Torino,"8",4250.5,"01"
"6044",45.07712,7.6818,Torino,"2",1250.5,"01"
"6393",45.07615,7.68044,Torino,"4",2250.5,"01"
"6562",45.0765,7.68065,Torino,"7",3750.5,"01"
"6071",45.07273,7.68209,Torino,"15",15000,"01"
"6356",45.07255,7.68284,Torino,"2",1250.5,"01"
"6454",45.07337,7.68272,Torino,"15",15000,"01"
"6457",45.07269,7.68201,Torino,"2",1250.5,"01"
"4228",45.07543,7.68283,Torino,"4",2250.5,"01"
"1855",45.07133,7.67797,Torino,"6",3250.5,"01"
"3916",45.07222,7.67687,Torino,"3",1750.5,"01"
"101503",45.07155957,7.6770401,Torino,"13",9500.5,"01"
"105115",45.0713666,7.67802372,Torino,"15",15000,"01"
"108750",45.07229673,7.676805075,Torino,"5",2750.5,"01"
"4341",45.07264,7.67853,Torino,"2",1250.5,"01"
"108931",45.07551863,7.680212402,Torino,"5",2750.5,"01"
"108037",45.0740249,7.68081665,Torino,"2",1250.5,"01"
"4064",45.07152,7.67809,Torino,"4",2250.5,"01"
"1262",45.06951,7.6815,Torino,"15",15000,"01"
"104599",45.06914271,7.681124353,Torino,"6",3250.5,"01"
"4149",45.07349,7.6844,Torino,"6",3250.5,"01"
"4388",45.07364,7.6845,Torino,"15",15000,"01"
"5498",45.07364,7.68441,Torino,"10",6500.5,"01"
"5962",45.07371,7.68451,Torino,"3",1750.5,"01"
"5970",45.07365,7.68455,Torino,"3",1750.5,"01"
"6260",45.07349,7.68446,Torino,"4",2250.5,"01"
"6282",45.0737,7.68437,Torino,"5",2750.5,"01"
"6286",45.07367,7.68451,Torino,"15",15000,"01"
"6488",45.07371,7.68452,Torino,"2",1250.5,"01"
"6670",45.07369,7.68451,Torino,"5",2750.5,"01"
"6949",45.07372,7.68443,Torino,"8",4250.5,"01"
"6424",45.07597,7.6782,Torino,"15",15000,"01"
"5959",45.07566,7.67869,Torino,"15",15000,"01"
"6782",45.07566,7.67879,Torino,"15",15000,"01"
"5364",45.05606,7.67052,Torino,"15",15000,"10"
"101013",45.058,7.6767,Torino,"3",1750.5,"10"
"108029",45.05954384,7.678070068,Torino,"5",2750.5,"10"
"5192",45.06279,7.67602,Torino,"14",12500.5,"10"
"6844",45.06272,7.67601,Torino,"6",3250.5,"10"
"5023",45.06259,7.67437,Torino,"15",15000,"10"
"5140",45.06263,7.67418,Torino,"7",3750.5,"10"
"105752",45.06316772,7.674805069,Torino,"2",1250.5,"10"
"105777",45.06330412,7.674805069,Torino,"8",4250.5,"10"
"128",45.06297,7.67794,Torino,"3",1750.5,"10"
"3521",45.06248,7.6767,Torino,"7",3750.5,"10"
"4466",45.06164,7.67756,Torino,"3",1750.5,"10"
"6153",45.06285,7.67738,Torino,"6",3250.5,"10"
"6344",45.0614,7.67889,Torino,"2",1250.5,"10"
"6513",45.06078,7.67738,Torino,"5",2750.5,"10"
"6771",45.06188,7.67876,Torino,"5",2750.5,"10"
"101510",45.06236663,7.677383423,Torino,"5",2750.5,"10"
"102361",45.06224319,7.676392937,Torino,"8",4250.5,"10"
"104585",45.06206131,7.678152466,Torino,"2",1250.5,"10"
"106101",45.06097004,7.678839111,Torino,"14",12500.5,"10"
"107836",45.06148536,7.67802372,Torino,"3",1750.5,"10"
"107956",45.0606669,7.677036667,Torino,"15",15000,"10"
"107957",45.0619665,7.677512169,Torino,"5",2750.5,"10"
"107981",45.06209162,7.678495789,Torino,"15",15000,"10"
"107986",45.06217042,7.67825548,Torino,"3",1750.5,"10"
"107995",45.06104741,7.677360247,Torino,"7",3750.5,"10"
"108006",45.06239475,7.678581619,Torino,"5",2750.5,"10"
"108012",45.06175811,7.67735145,Torino,"4",2250.5,"10"
"108024",45.06081847,7.677894974,Torino,"3",1750.5,"10"
"108052",45.06078816,7.678409958,Torino,"3",1750.5,"10"
"108118",45.06137297,7.677984238,Torino,"2",1250.5,"10"
"108248",45.0613338,7.677208328,Torino,"7",3750.5,"10"
"108261",45.06146967,7.678456306,Torino,"6",3250.5,"10"
"108362",45.06211954,7.676804066,Torino,"15",15000,"10"
"108391",45.06037747,7.678087236,Torino,"15",15000,"10"
"108409",45.06082066,7.677941322,Torino,"5",2750.5,"10"
"108555",45.06206889,7.67700448,Torino,"15",15000,"10"
"6259",45.06173,7.67794,Torino,"7",3750.5,"10"
"6171",45.06188,7.67601,Torino,"2",1250.5,"10"
"1680",45.06091,7.67464,Torino,"5",2750.5,"10"
"5105",45.06091,7.67395,Torino,"4",2250.5,"10"
"104588",45.06097004,7.674719238,Torino,"6",3250.5,"10"
"4212",45.05887,7.67273,Torino,"15",15000,"10"
"6024",45.05884,7.67326,Torino,"15",15000,"10"
"3490",45.05864,7.67396,Torino,"15",15000,"10"
"6181",45.05949,7.67464,Torino,"15",15000,"10"
"6598",45.05949,7.67395,Torino,"15",15000,"10"
"6031",45.05884,7.67189,Torino,"4",2250.5,"10"
"105896",45.05866836,7.672147751,Torino,"6",3250.5,"10"
"4436",45.0597,7.67511,Torino,"2",1250.5,"10"
"5365",45.06274,7.6735,Torino,"5",2750.5,"10"
"105194",45.06336475,7.674418831,Torino,"15",15000,"10"
"105267",45.06351631,7.674204254,Torino,"15",15000,"10"
"105523",45.0634844,7.674111128,Torino,"2",1250.5,"10"
"107830",45.06351631,7.673646355,Torino,"15",15000,"10"
