,SEZCENS,NCIRCO,ZONASTAT,SUPERF,AREA_CENS,CODASC,P_TOT,MALE_TOT,FEM_TOT,age 0-9,age 10-24,age 25-39,age 40-64,age >65,male 0-9,male 10-24,male 25-39,male 40-64,male >65,P47,P48,P49,P50,P51,P52,P61,P62,P128,P130,P131,P135,P137,P138,ST1,ST3,ST4,ST5,ST9,ST10,ST11,ST12,ST13,PF1,PF2,PF3,PF4,PF5,PF6,PF7,PF8,PF9,INCOMEinco,home,work,eating,entertainment,recreation,shopping,travel,admin_chores,religious,health,police,education
1034,240,1,06,7260.42,18.0,1.0,117.0,57.0,60.0,11.0,6.0,26.0,51.0,34.0,6.0,2.0,15.0,18.0,16.0,40.0,33.0,21.0,9.0,7.0,0.0,54.0,2.0,49.0,9.0,3.0,7.0,47.0,4.0,10.0,2.0,5.0,3.0,10.0,0.0,0.0,0.0,0.0,64.0,117.0,29.0,23.0,6.0,6.0,0.0,0.0,0.0,4993.93,0.1575,0.30250000000000005,0.3375,0.0675,0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1035,248,1,07,8495.11,18.0,1.0,140.0,60.0,80.0,14.0,18.0,30.0,70.0,14.0,5.0,7.0,10.0,33.0,5.0,56.0,40.0,20.0,8.0,6.0,0.0,77.0,3.0,40.0,9.0,12.0,4.0,67.0,10.0,7.0,2.0,4.0,1.0,1.0,4.0,2.0,0.0,0.0,79.0,140.0,49.0,10.0,11.0,7.0,2.0,0.0,0.0,6162.1,0.27,0.1,0.09,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0
1036,249,1,07,10801.75,18.0,1.0,321.0,153.0,168.0,17.0,28.0,76.0,153.0,76.0,6.0,17.0,42.0,60.0,28.0,104.0,102.0,70.0,18.0,18.0,1.0,171.0,11.0,113.0,12.0,16.0,12.0,139.0,22.0,21.0,5.0,11.0,5.0,1.0,2.0,5.0,13.0,0.0,185.0,321.0,99.0,52.0,20.0,12.0,2.0,0.0,0.0,6162.1,0.144,0.15399999999999997,0.324,0.0,0.162,0.216,0.0,0.0,0.0,0.0,0.0,0.0
1037,254,1,07,24825.25,18.0,1.0,282.0,134.0,148.0,28.0,23.0,68.0,117.0,64.0,13.0,17.0,35.0,45.0,24.0,97.0,80.0,40.0,26.0,20.0,1.0,133.0,7.0,104.0,17.0,18.0,19.0,127.0,15.0,37.0,13.0,21.0,3.0,21.0,2.0,6.0,8.0,0.0,154.0,271.0,84.0,35.0,23.0,12.0,0.0,0.0,0.0,6162.1,0.12000000000000002,0.16,0.21000000000000002,0.0,0.15000000000000002,0.15000000000000002,0.0,0.15000000000000002,0.0,0.06000000000000001,0.0,0.0
1038,256,1,07,24705.31,18.0,1.0,644.0,303.0,341.0,45.0,57.0,192.0,254.0,123.0,18.0,31.0,92.0,106.0,56.0,204.0,164.0,135.0,72.0,32.0,4.0,298.0,23.0,250.0,37.0,38.0,39.0,267.0,39.0,77.0,26.0,47.0,4.0,22.0,24.0,15.0,16.0,0.0,378.0,644.0,224.0,82.0,45.0,17.0,8.0,2.0,13.0,6162.1,0.13628571428571432,0.1462857142857143,0.27771428571428575,0.023142857142857146,0.09257142857142858,0.3008571428571429,0.023142857142857146,0.0,0.0,0.0,0.0,0.0
1039,262,1,08,8449.66,15.0,1.0,79.0,33.0,46.0,5.0,13.0,6.0,44.0,19.0,3.0,2.0,3.0,17.0,8.0,32.0,21.0,13.0,6.0,3.0,0.0,37.0,0.0,31.0,4.0,7.0,2.0,40.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,39.0,79.0,17.0,12.0,4.0,4.0,2.0,0.0,0.0,5484.39,0.09,0.505,0.09,0.0,0.09,0.09,0.0,0.0,0.0,0.135,0.0,0.0
1040,268,1,08,7627.59,17.0,1.0,56.0,28.0,28.0,3.0,7.0,11.0,26.0,15.0,1.0,1.0,9.0,11.0,6.0,30.0,16.0,5.0,2.0,0.0,0.0,29.0,0.0,24.0,5.0,6.0,0.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,56.0,16.0,10.0,4.0,2.0,0.0,0.0,0.0,5484.39,0.09000000000000001,0.42400000000000004,0.162,0.0,0.0,0.162,0.0,0.162,0.0,0.0,0.0,0.0
1041,269,1,08,11003.59,15.0,1.0,4.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5484.39,0.09000000000000001,0.09999999999999999,0.0,0.0,0.081,0.0,0.324,0.243,0.0,0.081,0.081,0.0
1042,292,1,08,49183.98,17.0,1.0,359.0,191.0,168.0,53.0,69.0,95.0,125.0,23.0,31.0,31.0,53.0,64.0,12.0,109.0,84.0,85.0,23.0,23.0,0.0,145.0,15.0,119.0,34.0,48.0,9.0,191.0,13.0,39.0,29.0,10.0,0.0,16.0,1.0,4.0,18.0,0.0,143.0,359.0,51.0,21.0,30.0,31.0,9.0,1.0,7.0,5484.39,0.09,0.3984210526315789,0.0,0.08526315789473683,0.12789473684210526,0.08526315789473683,0.042631578947368416,0.042631578947368416,0.0,0.12789473684210526,0.0,0.0
1043,299,1,08,7324.91,15.0,1.0,55.0,23.0,32.0,3.0,7.0,8.0,26.0,11.0,1.0,0.0,5.0,12.0,5.0,26.0,13.0,9.0,4.0,1.0,1.0,29.0,2.0,18.0,3.0,6.0,0.0,32.0,4.0,4.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,29.0,55.0,13.0,9.0,5.0,1.0,1.0,0.0,0.0,5484.39,0.09000000000000001,0.748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.162,0.0,0.0
