,Types,Name,Latitude,Longitude,RADIUS
0,['administrative'],I.N.P.S. Torino,45.06676065014384,7.680542785319605,
1,['administrative'],I.N.P.S. Torino Nord,45.105322742638194,7.70311251268925,
2,['administrative'],I.N.P.S. Torino - Agenzia San Paolo,45.052892458105156,7.67038765986405,
3,['administrative'],I.N.P.S. Torino - Agenzia Lingotto,45.02089389066149,7.662067034120653,
4,['administrative'],I.N.P.S. Torino - Agenzia Lucento Stura,45.06676065014384,7.680542785319605,
5,['administrative'],I.N.P.S. Torino - Agenzia Vanchiglia,45.09017966457938,7.680060655091252,
6,['administrative'],CAAF,45.07117612577448,7.653611721033901,
7,['administrative'],CAAF,45.103137526304664,7.633134473700015,
8,['administrative'],CAAF,45.09346885164185,7.672299438777126,
9,['administrative'],CAAF,45.049278304798854,7.66041969703002,
10,['administrative'],Fiora Servizi Aziendali,45.083530794684556,7.663773801613161,
11,['administrative'],Studio S.P. di Pavanello Sabrina,45.05239053715096,7.652581382522398,
12,['administrative'],Fornengo Emanuela,45.04340100349612,7.648811948155731,
13,['administrative'],CAAF,45.07174328693038,7.704932357412621,
14,['administrative'],Hidax srl,45.019624874069486,7.644898329008819,
15,['administrative'],CAAF,45.02214078148077,7.64650449480592,
16,['administrative'],Surace Bruno,45.04569954531554,7.66329667697821,
17,['administrative'],CAAF CGIL PVA s.r.l.,45.081192908808944,7.69343099381519,
18,['administrative'],CAAF,45.07522822438262,7.721857316430759,
19,['administrative'],C.E.D. Anceschi Serenacorso Castelfidardo 21,45.06537802105734,7.661427268362761,
20,['administrative'],CAAF,45.09971167380471,7.644256336601798,
21,['administrative'],Bonafede Vincenza,45.04755615596387,7.671536695667329,
22,['administrative'],Di Vece Lidia,45.05159257321087,7.657745911780969,
23,['administrative'],CAAF,45.05216047602266,7.656739978099072,
24,['administrative'],Studio Dott. Franco Omegna,45.06706589014891,7.654685152124773,
25,['administrative'],CAAF,45.066921535192314,7.655275354787808,
26,['administrative'],Motto Simona,45.074752532390406,7.629650238766038,
27,['administrative'],Vigetti Cesare,45.07646689972602,7.66171991340256,
28,['administrative'],Mascheroni Mariarosa,45.07613510647857,7.653350165698028,
29,['administrative'],Cilluffo Francesco,45.04996502785107,7.659810999525329,
30,['administrative'],Stra Lorenzo,45.053890465357895,7.663191733882547,
31,['administrative'],CAAF,45.09471486599766,7.695548415161204,
32,['administrative'],CAAF,45.100498591919134,7.652356509070128,
33,['administrative'],CAAF,45.05504460647487,7.682938059465954,
34,['administrative'],CAAF,45.05504460647487,7.682938059465954,
35,['administrative'],CAAF,45.04326727338377,7.640873282741672,
36,['administrative'],Studio Dott.ssa Maria Pia Timpani,45.04262716478422,7.639694438089524,
37,['administrative'],Greco Luca,45.088514396560775,7.693445679852163,
38,['administrative'],Taoufiki Imane,45.07933277228429,7.692832340186597,
39,['administrative'],CAAF,45.072922061201766,7.672048994394749,
40,['administrative'],Studio Dott.ssa Valeria Melis,45.04963069786316,7.65896104399472,
41,['administrative'],Gaballo Claudio,45.06747298014179,7.641670297570663,
42,['administrative'],CAAF,45.07846227677659,7.674256522281169,
43,['administrative'],CAAF,45.088607516562426,7.677194351313703,
44,['administrative'],CAAF,45.06305368036089,7.644890862713952,
45,['administrative'],Studio Rizzi,45.059903152352554,7.670370348395625,
46,['administrative'],Ostorero Fulvio,45.05758330911217,7.668607346059376,
47,['administrative'],Marasso Enrica,45.07418482051139,7.692004381369698,
48,['administrative'],Moretta Laura,45.05251887141517,7.659111540726687,
49,['administrative'],CAAF,45.05251887141517,7.659111540726687,
50,['administrative'],CAAF,45.052529066815225,7.652993521176069,
51,['administrative'],Studio Rag. Massimiliano Maria Giuseppe Leveratto,45.04421317815113,7.648554693916592,
52,['administrative'],Studio Impronta,45.04064542763782,7.658907112512862,
53,['administrative'],CAAF,45.07178200023188,7.674845246335265,
54,['administrative'],FAISA - CISAL Torino,45.05484047064464,7.671756810736492,
55,['administrative'],Dott. D'Elia Carmine,45.09024961271517,7.660395609204762,
56,['administrative'],Massucco Guido,45.07865837922822,7.649967559868339,
57,['administrative'],Garcia Manuelita,45.07802255034171,7.656619241857197,
58,['administrative'],CAAF,45.10080308725264,7.643246007388942,
59,['administrative'],Uljanic Daniela,45.098063867694755,7.652921900897601,
60,['administrative'],CAAF,45.0665218040303,7.637826679508474,
61,['administrative'],CAAF,45.069723670476215,7.639496912609107,
62,['administrative'],CAAF,45.03095905170654,7.644116771383252,
63,['administrative'],Farfan Layza Leila Rosa,45.07334627670751,7.648685517469501,
64,['administrative'],CAAF,45.063340821665136,7.678066116324851,
65,['administrative'],Fismic,45.06394239375098,7.676363276528325,
66,['administrative'],Garufo Angelo,45.09592672415071,7.699015146104075,
67,['administrative'],CAAF,45.08888155709366,7.697146140424051,
68,['administrative'],Lanza Mauro,45.10199701611492,7.694319620708602,
69,['administrative'],Conta Gest. srl,45.07623355893814,7.627187958902644,
70,['administrative'],CAAF,45.022660340716094,7.64153898975653,
71,['administrative'],CAAF,45.077281375395025,7.668561228750237,
72,['administrative'],CAAF,45.06686935796725,7.619306393452931,
73,['administrative'],CAAF,45.06686935796725,7.619306393452931,
74,['administrative'],Studio Dellaia Domenico,45.113968396581555,7.658816934339492,
75,['administrative'],Palladino Paola,45.113968396581555,7.658816934339492,
76,['administrative'],CAAF,45.08280591576131,7.690133072149449,
77,['administrative'],CAAF,45.05481960239544,7.632050915301122,
78,['administrative'],Mancini Ariella,45.06624846141259,7.678457677302765,
79,['administrative'],CAAF,45.06624846141259,7.678457677302765,
